machine_id,plant_id,machine_type,model,install_date,last_service_date,status,operational_hours,energy_consumption_kwh,location_zone
MCH-0330,PLT-08,Lathe,SIMOTION D,2018-03-30,2019-07-05,Active,31959,63.11,Zone-C
MCH-0231,PLT-01,CNC Mill,SIRIUS 3RW,2017-11-01,2018-06-06,Active,31777,96.57,Zone-C
MCH-0420,PLT-09,Welding Unit,SINUMERIK 840D,2023-09-16,2024-12-31,Active,18707,45.12,Zone-B
MCH-0015,PLT-02,Lathe,SINAMICS G120,2018-06-14,2018-09-29,Active,1851,23.04,Zone-B
MCH-0244,PLT-06,Lathe,SINUMERIK 840D,2023-01-28,2024-05-25,Active,642,48.43,Zone-A
MCH-0018,PLT-02,Lathe,SIMATIC ET200,2022-04-04,2024-08-08,Active,24945,82.5,Zone-C
MCH-0413,PLT-07,Robotic Arm,Siemens S7-1500,2023-08-23,2024-12-31,Active,36691,16.58,Zone-C
MCH-0314,PLT-08,CNC Mill,SINUMERIK 840D,2019-08-15,2019-12-23,Active,39742,26.56,Zone-D
MCH-0278,PLT-07,Press,SINUMERIK 840D,2021-07-28,2023-06-25,Active,4904,6.04,Zone-C
MCH-0311,PLT-05,Lathe,SIRIUS 3RW,2020-06-22,2022-01-26,Under Maintenance,36989,51.1,Zone-B
MCH-0023,PLT-09,Welding Unit,Siemens S7-1500,2019-04-12,2021-09-14,Active,45669,26.55,Zone-D
MCH-0093,PLT-07,Welding Unit,SIMOTION D,2015-01-13,2015-02-27,Active,27718,99.97,Zone-C
MCH-0188,PLT-06,CNC Mill,SINAMICS G120,2019-10-16,2022-04-02,Active,27670,29.61,Zone-A
MCH-0230,PLT-10,Welding Unit,Siemens S7-1500,2023-02-11,2023-11-10,Active,15000,29.82,Zone-A
MCH-0108,PLT-08,Welding Unit,SINUMERIK 840D,2019-01-28,2019-08-16,Idle,41493,74.86,Zone-C
MCH-0344,PLT-08,Robotic Arm,Siemens S7-1500,2019-05-16,2020-10-19,Active,47259,90.91,Zone-B
MCH-0005,PLT-09,CNC Mill,SIRIUS 3RW,2022-05-25,2023-01-28,Active,25191,50.95,Zone-D
MCH-0343,PLT-01,Robotic Arm,Siemens S7-1500,2021-01-26,2021-04-26,Active,18676,11.5,Zone-B
MCH-0290,PLT-09,Robotic Arm,SIMATIC ET200,2021-06-29,2022-01-13,Idle,3518,77.27,Zone-D
MCH-0140,PLT-01,Robotic Arm,SIMATIC ET200,2023-12-27,2024-12-31,Active,31787,13.54,Zone-D
MCH-0067,PLT-08,Robotic Arm,SIMATIC ET200,2016-01-26,2017-03-30,Active,29141,49.5,Zone-B
MCH-0216,PLT-02,Lathe,SINAMICS G120,2016-12-16,2017-10-13,Under Maintenance,29117,84.29,Zone-A
MCH-0477,PLT-06,Robotic Arm,SINUMERIK 840D,2021-04-05,2023-07-16,Under Maintenance,14248,118.12,Zone-C
MCH-0223,PLT-04,CNC Mill,SIMOTION D,2023-05-11,2024-09-17,Idle,8524,45.52,Zone-D
MCH-0130,PLT-03,CNC Mill,SINUMERIK 840D,2017-05-03,2018-08-09,Active,45358,29.09,Zone-A
MCH-0442,PLT-08,Press,SIMATIC ET200,2022-09-30,2024-11-16,Active,45790,112.93,Zone-A
MCH-0208,PLT-04,Lathe,Siemens S7-1500,2023-01-04,2024-08-25,Active,38542,66.91,Zone-B
MCH-0316,PLT-04,Conveyor,SIMOTION D,2018-05-16,2020-04-22,Active,23760,71.89,Zone-B
MCH-0036,PLT-05,Inspection Bot,SIRIUS 3RW,2016-05-16,2016-11-20,Idle,10492,98.42,Zone-C
MCH-0076,PLT-05,Inspection Bot,SIMATIC ET200,2021-03-02,2022-01-29,Idle,2849,41.52,Zone-B
MCH-0310,PLT-08,Robotic Arm,SINUMERIK 840D,2015-02-21,2015-05-24,Active,11263,67.9,Zone-A
MCH-0377,PLT-06,CNC Mill,SINAMICS G120,2023-01-10,2023-04-08,Under Maintenance,36392,96.09,Zone-C
MCH-0499,PLT-03,Robotic Arm,SIRIUS 3RW,2020-02-29,2020-05-20,Under Maintenance,13341,14.13,Zone-B
MCH-0323,PLT-10,CNC Mill,SINAMICS G120,2017-05-15,2019-02-02,Active,6047,114.91,Zone-A
MCH-0189,PLT-08,Press,SINUMERIK 840D,2016-07-20,2018-01-15,Idle,41120,90.15,Zone-A
MCH-0135,PLT-06,Inspection Bot,Siemens S7-1500,2016-10-16,2018-04-19,Active,624,20.24,Zone-D
MCH-0452,PLT-05,CNC Mill,SIMATIC ET200,2017-06-28,2017-10-18,Active,34684,25.4,Zone-A
MCH-0113,PLT-10,Lathe,SINUMERIK 840D,2015-06-24,2016-01-30,Active,28796,94.22,Zone-B
MCH-0045,PLT-05,Lathe,SINUMERIK 840D,2021-03-17,2022-12-16,Active,29010,62.22,Zone-D
MCH-0391,PLT-10,CNC Mill,SIRIUS 3RW,2019-02-17,2020-05-05,Active,14264,91.04,Zone-D
MCH-0424,PLT-04,Lathe,SIMOTION D,2017-06-24,2018-04-02,Active,47527,42.7,Zone-C
MCH-0042,PLT-03,Robotic Arm,Siemens S7-1500,2019-03-08,2019-05-17,Active,14309,36.79,Zone-C
MCH-0438,PLT-09,Inspection Bot,SIMATIC ET200,2018-03-02,2019-06-04,Active,5523,94.93,Zone-C
MCH-0486,PLT-10,Press,SIRIUS 3RW,2016-06-15,2018-03-04,Active,39481,71.48,Zone-D
MCH-0080,PLT-08,CNC Mill,SIRIUS 3RW,2019-05-03,2020-12-31,Active,22795,18.47,Zone-D
MCH-0179,PLT-09,Welding Unit,SIMOTION D,2015-07-15,2017-01-30,Idle,12239,56.99,Zone-A
MCH-0288,PLT-09,Lathe,Siemens S7-1500,2023-05-23,2024-05-10,Active,34248,84.57,Zone-A
MCH-0463,PLT-01,Lathe,SIRIUS 3RW,2020-05-01,2020-12-26,Under Maintenance,2252,53.13,Zone-A
MCH-0367,PLT-05,Press,SINAMICS G120,2022-02-19,2022-12-17,Under Maintenance,4231,79.52,Zone-B
MCH-0214,PLT-02,Welding Unit,SIMATIC ET200,2021-08-06,2022-10-15,Under Maintenance,34939,33.53,Zone-C
MCH-0455,PLT-04,Press,SINUMERIK 840D,2015-01-31,2015-07-14,Active,36468,78.22,Zone-B
MCH-0464,PLT-08,Welding Unit,SINUMERIK 840D,2022-09-26,2024-09-12,Active,40800,93.03,Zone-C
MCH-0301,PLT-04,Press,Siemens S7-1500,2020-02-13,2022-01-03,Active,48817,77.71,Zone-A
MCH-0481,PLT-05,Conveyor,SINUMERIK 840D,2015-05-14,2016-04-15,Under Maintenance,15143,99.68,Zone-D
MCH-0105,PLT-10,Conveyor,SIMATIC ET200,2022-08-03,2024-10-10,Active,6409,53.92,Zone-B
MCH-0354,PLT-04,Conveyor,SIMOTION D,2017-10-17,2018-03-31,Active,11732,98.77,Zone-C
MCH-0336,PLT-07,Robotic Arm,SIMOTION D,2022-04-12,2022-07-21,Active,20254,30.3,Zone-A
MCH-0068,PLT-10,Inspection Bot,SIMATIC ET200,2019-02-19,2020-04-02,Active,45746,36.84,Zone-C
MCH-0248,PLT-09,Inspection Bot,SIMATIC ET200,2022-01-17,2022-12-04,Idle,13175,37.69,Zone-C
MCH-0263,PLT-01,CNC Mill,SIMOTION D,2020-11-18,2022-03-11,Active,9031,104.16,Zone-A
MCH-0112,PLT-05,Lathe,Siemens S7-1500,2022-04-23,2024-09-22,Active,24435,65.03,Zone-C
MCH-0165,PLT-04,CNC Mill,SIRIUS 3RW,2020-08-28,2021-08-02,Active,18788,54.03,Zone-C
MCH-0483,PLT-02,Conveyor,SINUMERIK 840D,2019-04-05,2021-01-20,Decommissioned,7043,60.45,Zone-B
MCH-0322,PLT-10,Press,Siemens S7-1500,2020-05-23,2022-09-26,Decommissioned,5143,66.63,Zone-C
MCH-0046,PLT-03,Robotic Arm,SINUMERIK 840D,2022-08-12,2024-07-11,Active,17726,61.94,Zone-D
MCH-0399,PLT-09,Lathe,SIMOTION D,2016-09-23,2019-02-06,Active,11002,33.11,Zone-C
MCH-0371,PLT-09,Conveyor,SIMOTION D,2021-04-01,2022-11-19,Active,40463,41.7,Zone-C
MCH-0195,PLT-08,CNC Mill,Siemens S7-1500,2016-10-24,2018-12-23,Active,43476,103.56,Zone-B
MCH-0252,PLT-06,CNC Mill,SIRIUS 3RW,2015-06-17,2016-04-30,Active,8214,35.43,Zone-B
MCH-0234,PLT-02,CNC Mill,SIMOTION D,2022-12-13,2023-12-29,Under Maintenance,42184,17.46,Zone-D
MCH-0027,PLT-06,Lathe,Siemens S7-1500,2016-07-18,2018-01-16,Idle,37398,90.57,Zone-B
MCH-0032,PLT-06,Lathe,SINUMERIK 840D,2017-05-04,2019-10-17,Idle,2701,18.4,Zone-D
MCH-0432,PLT-10,Press,SINUMERIK 840D,2018-04-18,2018-07-09,Active,2916,10.46,Zone-A
MCH-0491,PLT-03,Welding Unit,SIRIUS 3RW,2018-06-07,2020-04-16,Active,36965,48.94,Zone-D
MCH-0478,PLT-06,Press,SIRIUS 3RW,2016-08-27,2016-09-29,Active,11824,7.23,Zone-C
MCH-0382,PLT-06,CNC Mill,SINAMICS G120,2017-03-13,2017-08-23,Active,14189,10.84,Zone-C
MCH-0171,PLT-09,Press,SIRIUS 3RW,2020-11-27,2022-10-10,Active,45514,79.05,Zone-C
MCH-0022,PLT-01,CNC Mill,SINAMICS G120,2021-10-03,2022-04-16,Decommissioned,20551,98.59,Zone-A
MCH-0372,PLT-09,CNC Mill,Siemens S7-1500,2021-01-02,2023-03-02,Active,16084,20.21,Zone-C
MCH-0414,PLT-01,Welding Unit,SIMOTION D,2022-05-01,2023-12-16,Active,30963,21.74,Zone-D
MCH-0425,PLT-07,Welding Unit,SIRIUS 3RW,2020-08-10,2021-11-20,Active,48166,38.95,Zone-B
MCH-0423,PLT-05,Robotic Arm,SINAMICS G120,2015-08-07,2017-04-02,Under Maintenance,43528,15.34,Zone-C
MCH-0215,PLT-10,Conveyor,Siemens S7-1500,2020-06-24,2022-02-02,Idle,17811,43.68,Zone-C
MCH-0406,PLT-06,Conveyor,SIMOTION D,2019-03-20,2019-05-25,Active,4877,71.69,Zone-B
MCH-0148,PLT-05,Welding Unit,SINUMERIK 840D,2022-11-16,2024-12-31,Active,24028,89.56,Zone-D
MCH-0150,PLT-04,Press,Siemens S7-1500,2017-08-28,2019-05-16,Active,27091,20.35,Zone-A
MCH-0465,PLT-10,CNC Mill,SIMOTION D,2018-09-23,2020-05-10,Active,7432,112.34,Zone-C
MCH-0350,PLT-09,Robotic Arm,SIMOTION D,2017-12-22,2018-05-31,Active,46050,8.86,Zone-D
MCH-0387,PLT-10,Lathe,Siemens S7-1500,2019-05-26,2021-09-17,Active,12651,57.65,Zone-D
MCH-0300,PLT-05,Robotic Arm,Siemens S7-1500,2019-11-30,2020-02-08,Under Maintenance,43500,33.04,Zone-A
MCH-0421,PLT-01,Welding Unit,Siemens S7-1500,2019-12-05,2021-12-02,Decommissioned,16180,85.26,Zone-A
MCH-0407,PLT-04,Welding Unit,Siemens S7-1500,2017-11-07,2018-03-22,Active,16431,90.19,Zone-B
MCH-0437,PLT-07,Robotic Arm,SIMATIC ET200,2020-02-13,2021-03-11,Active,11688,26.7,Zone-A
MCH-0079,PLT-08,Inspection Bot,SINUMERIK 840D,2016-02-11,2018-05-19,Active,6304,95.33,Zone-B
MCH-0249,PLT-08,CNC Mill,SIRIUS 3RW,2020-08-31,2022-06-27,Active,33403,109.7,Zone-D
MCH-0058,PLT-06,Welding Unit,SINAMICS G120,2021-01-05,2023-03-13,Idle,28646,22.55,Zone-B
MCH-0033,PLT-05,CNC Mill,SIMATIC ET200,2020-11-19,2021-05-26,Idle,30935,44.53,Zone-D
MCH-0177,PLT-07,Robotic Arm,SIMOTION D,2015-03-24,2015-10-06,Decommissioned,21047,42.15,Zone-B
MCH-0119,PLT-04,CNC Mill,SIRIUS 3RW,2019-09-04,2020-10-29,Active,43977,65.31,Zone-A
MCH-0160,PLT-05,Press,SINUMERIK 840D,2017-08-01,2018-04-15,Under Maintenance,31977,59.99,Zone-C
MCH-0101,PLT-03,Robotic Arm,SIRIUS 3RW,2015-05-22,2017-10-04,Active,44667,39.48,Zone-D
MCH-0283,PLT-10,Robotic Arm,SINUMERIK 840D,2015-07-26,2016-12-08,Active,49198,61.73,Zone-A
MCH-0450,PLT-09,Press,SIMATIC ET200,2018-05-14,2019-04-21,Active,6451,95.04,Zone-D
MCH-0205,PLT-08,Welding Unit,SIMOTION D,2015-12-14,2016-09-02,Active,41514,55.95,Zone-C
MCH-0447,PLT-06,Inspection Bot,SIRIUS 3RW,2018-01-07,2019-12-13,Active,17904,69.77,Zone-D
MCH-0222,PLT-01,Inspection Bot,Siemens S7-1500,2022-01-24,2024-04-24,Active,27405,45.76,Zone-D
MCH-0315,PLT-09,Robotic Arm,SINUMERIK 840D,2023-04-18,2024-02-27,Active,25324,112.45,Zone-A
MCH-0467,PLT-03,Lathe,SIMOTION D,2020-09-09,2022-07-27,Active,20610,104.35,Zone-B
MCH-0050,PLT-05,Robotic Arm,SIMOTION D,2016-03-24,2017-06-06,Active,49255,25.69,Zone-D
MCH-0256,PLT-02,Welding Unit,Siemens S7-1500,2018-12-01,2020-11-25,Idle,21465,104.61,Zone-B
MCH-0393,PLT-06,CNC Mill,SIMATIC ET200,2018-10-31,2019-08-24,Active,23751,13.43,Zone-B
MCH-0320,PLT-03,Lathe,SINUMERIK 840D,2016-07-19,2017-02-16,Active,43958,18.33,Zone-A
MCH-0136,PLT-06,CNC Mill,SIMATIC ET200,2016-12-24,2018-09-09,Active,11656,19.95,Zone-D
MCH-0433,PLT-03,Conveyor,SIMOTION D,2016-08-01,2017-05-29,Under Maintenance,9185,116.08,Zone-D
MCH-0439,PLT-05,CNC Mill,SIMATIC ET200,2017-05-07,2017-07-15,Idle,35256,33.8,Zone-A
MCH-0137,PLT-10,CNC Mill,SINAMICS G120,2023-07-03,2024-12-31,Active,2298,28.98,Zone-D
MCH-0268,PLT-07,Welding Unit,SIMATIC ET200,2021-06-16,2022-07-04,Idle,22518,52.57,Zone-B
MCH-0092,PLT-04,CNC Mill,Siemens S7-1500,2016-11-26,2019-01-11,Active,3614,13.25,Zone-B
MCH-0197,PLT-04,Welding Unit,SIMATIC ET200,2019-07-31,2021-11-12,Under Maintenance,1414,6.23,Zone-B
MCH-0087,PLT-05,Press,Siemens S7-1500,2018-01-02,2019-03-02,Idle,24650,49.8,Zone-B
MCH-0043,PLT-06,Welding Unit,SIRIUS 3RW,2016-02-22,2018-03-18,Active,7433,66.89,Zone-D
MCH-0345,PLT-08,Robotic Arm,SINUMERIK 840D,2017-02-28,2019-04-05,Under Maintenance,42588,104.34,Zone-B
MCH-0258,PLT-08,Inspection Bot,SINUMERIK 840D,2022-06-30,2024-08-27,Active,5405,18.94,Zone-B
MCH-0176,PLT-03,Robotic Arm,SINUMERIK 840D,2022-09-28,2024-11-20,Active,18045,70.8,Zone-B
MCH-0198,PLT-09,Press,SINAMICS G120,2019-12-28,2021-12-13,Under Maintenance,32594,10.16,Zone-A
MCH-0201,PLT-05,CNC Mill,SIRIUS 3RW,2017-12-19,2018-08-07,Idle,48576,67.7,Zone-A
MCH-0277,PLT-04,Robotic Arm,SIMOTION D,2021-06-10,2021-09-19,Active,3158,103.69,Zone-D
MCH-0370,PLT-03,CNC Mill,SIMOTION D,2020-12-24,2021-12-27,Active,2824,32.75,Zone-D
MCH-0007,PLT-07,CNC Mill,SINUMERIK 840D,2018-11-22,2020-09-20,Active,13158,6.22,Zone-B
MCH-0224,PLT-03,Robotic Arm,SIMOTION D,2022-01-29,2023-01-15,Idle,46796,112.3,Zone-A
MCH-0488,PLT-09,Lathe,SINUMERIK 840D,2019-05-01,2021-04-09,Active,42963,40.07,Zone-D
MCH-0411,PLT-02,Lathe,SINAMICS G120,2019-09-08,2020-02-12,Under Maintenance,41271,20.12,Zone-A
MCH-0141,PLT-07,Inspection Bot,Siemens S7-1500,2015-06-19,2016-12-19,Active,38822,118.71,Zone-D
MCH-0376,PLT-03,Lathe,SIMATIC ET200,2020-05-08,2022-04-20,Under Maintenance,32347,19.36,Zone-B
MCH-0282,PLT-04,Lathe,SINUMERIK 840D,2015-05-25,2016-05-23,Active,28347,41.99,Zone-C
MCH-0185,PLT-09,Welding Unit,SINUMERIK 840D,2015-04-24,2015-10-01,Active,15673,99.34,Zone-C
MCH-0192,PLT-10,Lathe,Siemens S7-1500,2015-05-09,2016-08-11,Active,43898,69.55,Zone-D
MCH-0175,PLT-06,Inspection Bot,SIMATIC ET200,2019-04-04,2020-12-06,Idle,39498,35.06,Zone-D
MCH-0065,PLT-01,Press,SINUMERIK 840D,2023-06-18,2024-05-24,Idle,48099,13.9,Zone-B
MCH-0329,PLT-01,Robotic Arm,SIRIUS 3RW,2017-10-01,2018-08-20,Active,43168,55.81,Zone-B
MCH-0296,PLT-04,Robotic Arm,SINUMERIK 840D,2016-08-03,2017-04-05,Active,43635,37.29,Zone-B
MCH-0211,PLT-02,CNC Mill,Siemens S7-1500,2019-05-16,2020-08-28,Active,16434,42.29,Zone-B
MCH-0168,PLT-02,Robotic Arm,SINAMICS G120,2019-02-23,2021-06-06,Active,11137,97.39,Zone-C
MCH-0098,PLT-07,CNC Mill,SIMOTION D,2018-01-06,2019-10-19,Active,27823,30.23,Zone-A
MCH-0482,PLT-05,Lathe,SINAMICS G120,2015-04-24,2016-04-17,Active,46176,41.92,Zone-D
MCH-0056,PLT-01,CNC Mill,SIMATIC ET200,2019-10-23,2021-10-13,Active,21515,45.74,Zone-A
MCH-0349,PLT-04,Welding Unit,SIMOTION D,2020-05-01,2021-09-27,Under Maintenance,812,24.52,Zone-D
MCH-0103,PLT-05,Robotic Arm,SINUMERIK 840D,2015-07-07,2016-05-22,Under Maintenance,24000,33.56,Zone-A
MCH-0219,PLT-06,CNC Mill,Siemens S7-1500,2019-08-07,2021-02-14,Idle,16620,86.38,Zone-C
MCH-0151,PLT-01,CNC Mill,SIMOTION D,2018-05-10,2020-04-18,Decommissioned,39615,20.87,Zone-B
MCH-0085,PLT-06,Conveyor,SIMATIC ET200,2022-12-27,2024-10-21,Active,7659,93.15,Zone-B
MCH-0341,PLT-04,Inspection Bot,SIRIUS 3RW,2018-10-16,2019-02-18,Active,7214,100.49,Zone-A
MCH-0212,PLT-05,CNC Mill,SIMOTION D,2019-10-11,2020-07-07,Under Maintenance,39048,52.03,Zone-B
MCH-0044,PLT-05,CNC Mill,SIMATIC ET200,2022-01-10,2022-08-31,Idle,37596,72.07,Zone-B
MCH-0390,PLT-03,Lathe,SIRIUS 3RW,2018-02-10,2019-07-11,Under Maintenance,38183,104.06,Zone-D
MCH-0366,PLT-06,Conveyor,SIRIUS 3RW,2022-05-27,2023-08-24,Under Maintenance,3882,33.84,Zone-C
MCH-0124,PLT-05,Welding Unit,SIMOTION D,2019-01-30,2019-09-16,Active,44712,26.76,Zone-A
MCH-0358,PLT-09,Welding Unit,SIMOTION D,2016-01-14,2017-07-03,Active,26475,64.16,Zone-A
MCH-0090,PLT-05,Robotic Arm,SINAMICS G120,2017-06-02,2018-03-08,Idle,30895,29.17,Zone-D
MCH-0458,PLT-05,Robotic Arm,Siemens S7-1500,2015-10-31,2017-10-01,Active,7920,53.87,Zone-B
MCH-0476,PLT-03,Robotic Arm,SINAMICS G120,2022-10-05,2022-11-09,Active,31912,16.32,Zone-A
MCH-0139,PLT-08,Robotic Arm,SIRIUS 3RW,2023-02-24,2024-12-31,Active,46460,81.29,Zone-C
MCH-0251,PLT-06,Conveyor,SINUMERIK 840D,2016-05-23,2018-01-13,Active,40176,98.05,Zone-C
MCH-0475,PLT-09,Lathe,Siemens S7-1500,2021-01-10,2023-06-27,Active,36953,16.78,Zone-B
MCH-0104,PLT-02,Conveyor,SINAMICS G120,2022-08-27,2024-01-14,Idle,11675,113.35,Zone-D
MCH-0173,PLT-04,CNC Mill,SINUMERIK 840D,2015-07-30,2017-07-12,Under Maintenance,42348,116.2,Zone-A
MCH-0398,PLT-10,Robotic Arm,SIRIUS 3RW,2015-01-25,2016-05-22,Active,28325,108.99,Zone-C
MCH-0238,PLT-06,Conveyor,SIMOTION D,2020-04-05,2022-08-17,Idle,20831,101.23,Zone-C
MCH-0309,PLT-10,Lathe,SIMOTION D,2016-03-17,2017-08-25,Active,17530,84.09,Zone-A
MCH-0089,PLT-02,Robotic Arm,SIRIUS 3RW,2019-04-14,2020-02-19,Active,26311,115.26,Zone-C
MCH-0318,PLT-01,CNC Mill,SINAMICS G120,2015-05-15,2016-04-01,Active,20211,60.95,Zone-A
MCH-0253,PLT-10,Inspection Bot,SIMATIC ET200,2020-09-05,2021-07-10,Idle,7672,118.33,Zone-D
MCH-0094,PLT-03,Conveyor,SIMOTION D,2020-12-28,2022-01-05,Active,36615,103.62,Zone-C
MCH-0441,PLT-02,Lathe,SIMOTION D,2015-06-30,2016-06-21,Active,3656,117.82,Zone-B
MCH-0159,PLT-07,Lathe,Siemens S7-1500,2015-04-30,2016-01-21,Active,4918,79.98,Zone-C
MCH-0328,PLT-03,Inspection Bot,SIRIUS 3RW,2015-07-09,2016-07-11,Under Maintenance,37227,29.96,Zone-A
MCH-0241,PLT-03,Press,SINAMICS G120,2015-04-24,2016-07-22,Active,11911,12.34,Zone-A
MCH-0426,PLT-07,Conveyor,SIMOTION D,2021-06-09,2021-09-10,Active,49538,90.87,Zone-A
MCH-0040,PLT-05,CNC Mill,SINAMICS G120,2020-06-04,2021-01-31,Idle,12329,68.36,Zone-C
MCH-0062,PLT-02,Robotic Arm,SIMATIC ET200,2021-08-12,2021-09-17,Active,29914,52.02,Zone-A
MCH-0059,PLT-04,Robotic Arm,SIMOTION D,2023-01-30,2024-07-10,Under Maintenance,24099,51.14,Zone-C
MCH-0084,PLT-04,Inspection Bot,SINAMICS G120,2017-07-25,2018-10-12,Under Maintenance,30268,109.72,Zone-D
MCH-0162,PLT-08,Lathe,SIMATIC ET200,2021-12-29,2023-04-11,Idle,27721,112.7,Zone-B
MCH-0302,PLT-04,Welding Unit,SIMATIC ET200,2020-07-06,2020-12-21,Active,32408,29.87,Zone-B
MCH-0019,PLT-09,Welding Unit,Siemens S7-1500,2019-08-12,2020-03-15,Active,24023,13.0,Zone-A
MCH-0086,PLT-06,Conveyor,SIMOTION D,2018-10-03,2019-10-03,Active,45916,68.51,Zone-C
MCH-0088,PLT-03,Welding Unit,SIRIUS 3RW,2022-03-21,2024-06-07,Active,33012,24.38,Zone-C
MCH-0052,PLT-04,Welding Unit,SIRIUS 3RW,2020-05-23,2022-08-01,Active,40442,33.39,Zone-A
MCH-0484,PLT-06,Robotic Arm,Siemens S7-1500,2015-05-16,2016-01-30,Active,27113,119.42,Zone-A
MCH-0194,PLT-04,Welding Unit,SINAMICS G120,2020-12-29,2023-04-07,Active,46976,12.05,Zone-C
MCH-0385,PLT-06,Lathe,SINUMERIK 840D,2019-09-09,2019-11-09,Decommissioned,28827,56.86,Zone-A
MCH-0199,PLT-09,Welding Unit,Siemens S7-1500,2023-02-12,2024-12-31,Active,2604,110.34,Zone-A
MCH-0492,PLT-05,Welding Unit,SINAMICS G120,2019-02-12,2020-12-09,Under Maintenance,46859,82.19,Zone-C
MCH-0145,PLT-07,Welding Unit,SIMATIC ET200,2019-08-14,2021-11-06,Active,7175,6.87,Zone-B
MCH-0469,PLT-04,Robotic Arm,SIMOTION D,2015-07-13,2017-04-24,Active,44155,24.94,Zone-C
MCH-0106,PLT-02,Press,SIRIUS 3RW,2016-02-14,2016-05-31,Active,20424,60.66,Zone-A
MCH-0378,PLT-02,Robotic Arm,SIMOTION D,2022-09-06,2024-09-12,Under Maintenance,7728,116.43,Zone-A
MCH-0227,PLT-08,CNC Mill,SINUMERIK 840D,2021-11-01,2022-02-09,Idle,17055,36.84,Zone-D
MCH-0415,PLT-03,Welding Unit,SIRIUS 3RW,2020-08-31,2020-10-12,Active,11758,28.82,Zone-D
MCH-0262,PLT-07,CNC Mill,SINAMICS G120,2018-10-01,2020-01-04,Active,31105,104.04,Zone-D
MCH-0363,PLT-02,Conveyor,SINAMICS G120,2015-12-28,2017-01-31,Active,4844,68.4,Zone-D
MCH-0285,PLT-03,Press,SIMATIC ET200,2018-01-13,2020-02-06,Active,35599,35.84,Zone-D
MCH-0077,PLT-04,Inspection Bot,SIMATIC ET200,2016-08-13,2018-01-20,Active,16537,119.98,Zone-A
MCH-0324,PLT-01,Press,SINUMERIK 840D,2023-01-30,2024-11-14,Decommissioned,1363,25.73,Zone-C
MCH-0451,PLT-06,Robotic Arm,SIRIUS 3RW,2017-12-12,2018-07-16,Active,22444,77.28,Zone-D
MCH-0075,PLT-05,Welding Unit,Siemens S7-1500,2017-09-16,2020-01-10,Active,30006,77.23,Zone-D
MCH-0020,PLT-08,Welding Unit,Siemens S7-1500,2021-12-31,2024-01-18,Idle,3977,23.8,Zone-A
MCH-0115,PLT-06,Welding Unit,SIRIUS 3RW,2017-11-05,2019-06-27,Active,5885,81.66,Zone-A
MCH-0034,PLT-05,CNC Mill,SIMOTION D,2023-10-17,2024-12-31,Active,4344,95.91,Zone-C
MCH-0472,PLT-04,Inspection Bot,SINAMICS G120,2020-06-12,2022-06-19,Idle,24856,23.79,Zone-A
MCH-0436,PLT-01,Inspection Bot,SIRIUS 3RW,2016-03-25,2016-07-28,Decommissioned,1738,33.0,Zone-A
MCH-0073,PLT-02,Robotic Arm,SIMATIC ET200,2020-05-13,2022-04-22,Idle,25614,60.65,Zone-C
MCH-0144,PLT-07,Welding Unit,SINAMICS G120,2022-07-25,2023-12-21,Active,42617,11.07,Zone-B
MCH-0207,PLT-09,CNC Mill,SINUMERIK 840D,2021-09-21,2023-05-07,Active,24243,34.26,Zone-A
MCH-0269,PLT-09,Lathe,SIMOTION D,2019-02-13,2021-03-22,Active,39113,30.96,Zone-A
MCH-0017,PLT-04,Press,SINUMERIK 840D,2023-11-20,2024-12-31,Active,2805,56.13,Zone-B
MCH-0443,PLT-02,Welding Unit,SIMOTION D,2022-03-03,2022-10-02,Active,21970,50.33,Zone-D
MCH-0304,PLT-07,Inspection Bot,Siemens S7-1500,2021-04-23,2022-12-10,Active,30328,84.46,Zone-D
MCH-0270,PLT-09,Press,SINAMICS G120,2021-04-20,2023-06-29,Active,34892,109.78,Zone-D
MCH-0435,PLT-10,CNC Mill,SIMOTION D,2019-12-12,2020-03-03,Active,40714,20.47,Zone-C
MCH-0182,PLT-09,Inspection Bot,Siemens S7-1500,2016-03-27,2016-09-28,Active,6545,34.22,Zone-C
MCH-0319,PLT-03,CNC Mill,SINUMERIK 840D,2016-03-12,2016-08-10,Active,42275,50.75,Zone-B
MCH-0352,PLT-01,Inspection Bot,Siemens S7-1500,2017-06-26,2019-02-17,Active,23388,103.99,Zone-C
MCH-0373,PLT-08,Robotic Arm,Siemens S7-1500,2021-08-27,2023-06-08,Active,36616,58.61,Zone-D
MCH-0254,PLT-04,CNC Mill,Siemens S7-1500,2017-09-17,2018-08-17,Under Maintenance,26109,76.31,Zone-A
MCH-0181,PLT-01,Lathe,SINAMICS G120,2015-05-03,2017-01-24,Active,14865,67.94,Zone-A
MCH-0193,PLT-01,Welding Unit,SINUMERIK 840D,2017-02-14,2018-01-22,Active,39992,96.66,Zone-C
MCH-0114,PLT-10,Lathe,SIMATIC ET200,2019-04-10,2019-12-12,Under Maintenance,31767,104.3,Zone-B
MCH-0146,PLT-04,CNC Mill,SINAMICS G120,2016-04-29,2016-11-05,Active,23659,116.99,Zone-D
MCH-0331,PLT-07,Lathe,SINUMERIK 840D,2022-12-06,2024-07-23,Active,32400,81.5,Zone-C
MCH-0379,PLT-10,Press,Siemens S7-1500,2022-03-20,2023-12-18,Active,45424,105.57,Zone-B
